,Unnamed: 0,YEAR,COUNTRY,DISASTER_TYPE,TOTAL_DEATHS,TOTAL_INJURIES,TOTAL_DAMAGE_MILLIONS_DOLLARS
380,380,1977,Romania,Ground movement,1641,11300,2000
381,381,1977,Solomon Islands,Ground movement,34,1,
382,382,1977,Tonga,Ground movement,1,5,1.2
383,383,1977,Turkey,Ground movement,30,,
384,384,1978,Germany Fed Rep,Ground movement,,35,150
385,385,1978,Greece,Ground movement,50,100,250
386,386,1978,Iran (Islamic Republic of),Ground movement,25045,52,50
387,387,1978,Italy,Ground movement,5,,
388,388,1978,Japan,Ground movement,53,619,865
389,389,1978,Mexico,Ground movement,9,100,
390,390,1978,Philippines (the),Ash fall,,,
391,391,1978,Turkey,Ground movement,,20,
392,392,1979,Albania,Ground movement,35,350,
393,393,1979,Australia,Ground movement,,,7.075
394,394,1979,China,Ground movement,41,2104,
395,395,1979,Colombia,Ground movement,639,1642,28
396,396,1979,France,Tsunami,11,2,
397,397,1979,Guatemala,Ground movement,,40,
398,398,1979,India,Ground movement,,,
399,399,1979,Indonesia,Ash fall,257,1000,
400,400,1979,Indonesia,Ground movement,99,872,20.15
401,401,1979,Indonesia,Tsunami,539,23,
402,402,1979,Iran (Islamic Republic of),Ground movement,565,278,
403,403,1979,Italy,Ash fall,9,24,
404,404,1979,Italy,Ground movement,5,,
405,405,1979,Japan,Ground movement,27,,
406,406,1979,Korea (the Democratic People's Republic of),Ground movement,,,
407,407,1979,Mexico,Ground movement,5,35,30
408,408,1979,Peru,Ground movement,13,1000,
409,409,1979,Saint Vincent and the Grenadines,Ash fall,2,,
410,410,1979,Yugoslavia,Ground movement,121,180,450
411,411,1980,Algeria,Ground movement,2635,8459,5200
412,412,1980,Azores Islands,Ground movement,69,600,
413,413,1980,Ecuador,Ground movement,8,40,
414,414,1980,Greece,Ground movement,1,17,
415,415,1980,Honduras,Ground movement,2,,
416,416,1980,India,Ground movement,13,48,
417,417,1980,Indonesia,Ash fall,,,
418,418,1980,Indonesia,Ground movement,,,
419,419,1980,Iran (Islamic Republic of),Ground movement,50,100,
420,420,1980,Italy,Ground movement,4689,7700,20000
421,421,1980,Japan,Ground movement,2,80,
422,422,1980,Mexico,Ground movement,67,360,
423,423,1980,Nepal,Ground movement,100,5600,245
424,424,1980,Peru,Ground movement,7,,
425,425,1980,Philippines (the),Rockfall,50,,
426,426,1980,Soviet Union,Ground movement,87,,5
427,427,1980,United States of America (the),Ash fall,90,,860
428,428,1980,United States of America (the),Ground movement,,2,
429,429,1980,Venezuela (Bolivarian Republic of),Ground movement,,36,
430,430,1980,Yugoslavia,Ground movement,,100,
431,431,1981,China,Ground movement,150,850,
432,432,1981,Colombia,Ground movement,10,,
433,433,1981,Greece,Ground movement,24,400,900
434,434,1981,India,Ground movement,212,,
435,435,1981,Indonesia,Ash fall,192,,
436,436,1981,Indonesia,Ground movement,306,,
437,437,1981,Iran (Islamic Republic of),Ground movement,3200,4000,1005
438,438,1981,Italy,Ground movement,12,6,
439,439,1981,Mexico,Ground movement,3,28,
440,440,1981,Pakistan,Ground movement,256,2012,
441,441,1981,Peru,Ground movement,18,115,
442,442,1981,Venezuela (Bolivarian Republic of),Ground movement,15,,5
443,443,1981,Yugoslavia,Ground movement,,44,
444,444,1982,Afghanistan,Ground movement,500,3000,1
445,445,1982,Albania,Ground movement,1,5,
446,446,1982,Bolivia (Plurinational State of),Ground movement,20,,
447,447,1982,China,Ground movement,10,5,
448,448,1982,El Salvador,Ground movement,20,,
449,449,1982,Guatemala,Ground movement,20,,5
450,450,1982,Honduras,Ground movement,,,
451,451,1982,Indonesia,Ash fall,30,,160
452,452,1982,Indonesia,Ground movement,13,417,4.95
453,453,1982,Italy,Ground movement,,,35
454,454,1982,Japan,Ground movement,,100,
455,455,1982,Liberia,Landslide,46,,
456,456,1982,Mexico,Ash fall,100,500,117
457,457,1982,Mexico,Ground movement,9,17,
458,458,1982,Peru,Ground movement,3,,
459,459,1982,Philippines (the),Ground movement,,,
460,460,1982,Poland,Ground movement,,,
461,461,1982,South Africa,Ground movement,17,,
462,462,1982,Yemen Arab Rep,Ground movement,1507,1500,2000
463,463,1983,Afghanistan,Ground movement,12,483,3
464,464,1983,Belgium,Ground movement,2,30,50
465,465,1983,Chile,Ground movement,4,24,
466,466,1983,China,Ground movement,34,2200,
467,467,1983,China,Landslide,277,,
468,468,1983,Colombia,Ground movement,250,1200,410.9
469,469,1983,Colombia,Rockfall,160,,
470,470,1983,Costa Rica,Ground movement,12,60,1
471,471,1983,Greece,Ground movement,,7,
472,472,1983,Guatemala,Ash fall,,,
473,473,1983,Guinea,Ground movement,275,1436,
474,474,1983,Iceland,Ash fall,,,
475,475,1983,Indonesia,Ash fall,,,175.19
476,476,1983,Indonesia,Ground movement,,100,1
477,477,1983,Iran (Islamic Republic of),Ground movement,33,102,5
478,478,1983,Italy,Ground movement,,30,
479,479,1983,Japan,Ash fall,,,
480,480,1983,Japan,Ground movement,1,28,
481,481,1983,Japan,Tsunami,102,77,416
482,482,1983,Lebanon,Landslide,20,,
483,483,1983,Pakistan,Ground movement,24,543,3
484,484,1983,Papua New Guinea,Ash fall,,,
485,485,1983,Papua New Guinea,Ground movement,10,,
486,486,1983,Peru,Ground movement,10,,
487,487,1983,Philippines (the),Ground movement,19,176,2.227
488,488,1983,Soviet Union,Ground movement,,,
489,489,1983,Turkey,Ground movement,1346,1137,25
490,490,1983,United States of America (the),Ground movement,2,53,52.25
491,491,1983,Yugoslavia,Ground movement,12,,
492,492,1984,Afghanistan,Ground movement,1,35,5
493,493,1984,Cameroon,Ash fall,37,,
494,494,1984,Guatemala,Ash fall,,,
495,495,1984,Iceland,Ash fall,,,
496,496,1984,India,Ground movement,20,100,
497,497,1984,Indonesia,Ash fall,,,
498,498,1984,Indonesia,Ground movement,2,197,1
499,499,1984,Italy,Ground movement,4,285,
500,500,1984,Japan,Ground movement,20,9,43
501,501,1984,Pakistan,Ground movement,4,12,
502,502,1984,Philippines (the),Ash fall,,,
503,503,1984,Soviet Union,Ground movement,,100,
504,504,1984,Turkey,Ground movement,6,73,
505,505,1985,Algeria,Ground movement,30,,1
506,506,1985,American Samoa,Ground movement,,,
507,507,1985,Argentina,Ground movement,6,238,
508,508,1985,Chile,Ground movement,180,2483,1500
